"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Trea Turner","LAD","131","582","19","83","88","22","6.4%","18.2%",".176",".347",".305",".350",".481",".359","","133","4.0","26.5","3.8","5.2","16252"
"J.T. Realmuto","PHI","113","459","14","62","67","17","7.6%","20.7%",".183",".318",".271",".340",".455",".345","","121","4.8","16.2","15.6","5.0","11739"
"Andres Gimenez","CLE","118","440","15","49","60","15","5.7%","19.8%",".182",".353",".302",".367",".483",".370","","144","2.3","24.0","8.6","4.9","19950"
"Yordan Alvarez","HOU","109","452","31","78","80","1","14.2%","19.5%",".302",".303",".294",".398",".597",".417","","179","-1.0","39.0","-7.4","4.8","19556"
"Tommy Edman","STL","129","539","13","86","51","26","7.2%","17.6%",".146",".298",".260",".320",".406",".317","","107","6.9","11.1","15.7","4.7","19470"
"Rafael Devers","BOS","116","508","25","74","72","2","6.9%","18.5%",".246",".320",".293",".350",".539",".376","","144","0.9","25.7","2.5","4.6","17350"
"Jeff McNeil","NYM","120","466","7","57","49","2","6.0%","11.8%",".135",".350",".317",".367",".452",".358","","137","3.2","23.2","5.0","4.6","15362"
"Jose Altuve","HOU","115","497","22","78","48","14","10.7%","14.9%",".225",".303",".287",".374",".513",".384","","155","-2.2","28.5","-0.7","4.5","5417"
"Alex Bregman","HOU","128","544","20","81","78","1","13.4%","12.5%",".206",".269",".265",".369",".471",".365","","142","-1.5","24.0","1.9","4.5","17678"
"Sean Murphy","OAK","122","502","17","55","59","1","8.8%","20.3%",".188",".291",".254",".333",".442",".337","","127","-2.1","13.2","13.0","4.4","19352"
"Mike Trout","LAA","93","386","28","62","58","1","11.1%","29.0%",".315",".320",".270",".363",".585",".400","","164","-0.6","26.9","1.6","4.3","10155"
"Corey Seager","TEX","126","556","29","76","72","3","9.2%","14.9%",".217",".248",".253",".327",".470",".341","","125","1.7","17.0","5.6","4.2","13624"
"Brandon Nimmo","NYM","125","557","12","80","46","0","9.3%","17.2%",".155",".308",".266",".353",".421",".342","","125","-1.2","15.4","3.8","4.0","12927"
"Byron Buxton","MIN","92","382","28","61","51","6","8.9%","30.4%",".303",".244",".224",".306",".526",".356","","136","4.2","19.8","6.0","4.0","14161"
"Michael Harris II","ATL","87","331","15","58","48","16","4.8%","25.1%",".232",".373",".303",".347",".535",".380","","143","4.8","21.4","5.1","3.9","25931"
"Kyle Tucker","HOU","122","498","22","57","84","19","10.4%","15.7%",".209",".268",".259",".335",".467",".347","","129","3.1","19.1","0.9","3.7","18345"
"Julio Rodriguez","SEA","116","495","22","71","66","23","6.9%","27.1%",".205",".329",".265",".325",".470",".342","","130","3.4","20.0","0.0","3.7","23697"
"Eugenio Suarez","SEA","132","556","25","64","76","0","12.1%","31.5%",".214",".302",".231",".333",".444",".340","","128","-2.0","15.6","2.0","3.7","12552"
"Jose Trevino","NYY","96","296","10","37","37","2","4.4%","16.2%",".150",".283",".261",".297",".411",".309","","102","0.2","0.9","24.6","3.6","16725"
"Nico Hoerner","CHC","118","452","8","44","47","16","5.5%","11.3%",".116",".306",".283",".330",".399",".318","","104","1.9","4.0","15.5","3.6","21479"
"Adley Rutschman","BAL","84","346","9","54","28","3","13.6%","17.3%",".188",".279",".247",".355",".435",".347","","129","3.8","14.9","8.5","3.6","26288"
"Matt Chapman","TOR","125","496","24","71","64","2","10.3%","27.4%",".223",".284",".237",".325",".460",".341","","124","2.1","15.2","3.0","3.5","16505"
"Christian Walker","ARI","130","541","31","70","75","0","11.6%","18.3%",".247",".229",".234",".331",".482",".350","","123","0.6","15.2","0.2","3.5","13419"
"Jose Abreu","CHW","131","569","14","73","63","0","9.8%","16.3%",".145",".356",".310",".385",".455",".368","","143","-0.9","26.3","-10.5","3.5","15676"
"Alejandro Kirk","TOR","116","442","13","52","51","0","11.8%","10.6%",".147",".304",".293",".380",".440",".360","","137","-5.5","13.0","6.6","3.5","22581"
"Will Smith","LAD","113","476","20","56","79","1","10.3%","16.4%",".205",".278",".263",".351",".469",".355","","130","-0.8","16.2","0.7","3.5","19197"
"Jake Cronenworth","SDP","131","572","13","76","67","2","10.7%","19.2%",".144",".279",".239",".339",".383",".320","","109","5.3","11.1","2.0","3.4","18036"
"Yandy Diaz","TBR","118","492","8","63","51","2","14.2%","10.2%",".132",".312",".288",".396",".421",".364","","146","-4.1","21.0","-4.8","3.3","16578"
"Willy Adames","MIL","110","487","26","69","77","5","7.8%","26.3%",".225",".262",".232",".292",".457",".323","","106","0.7","4.2","11.0","3.3","15986"
"George Springer","TOR","105","455","19","67","57","12","9.5%","17.6%",".200",".285",".265",".342",".465",".350","","130","4.8","20.4","-3.4","3.3","12856"
"Marcus Semien","TEX","131","591","21","80","67","20","7.8%","16.1%",".174",".256",".244",".303",".418",".313","","105","6.8","10.0","2.4","3.2","12533"
"Juan Soto","- - -","126","548","24","81","52","6","21.0%","13.7%",".224",".245",".245",".408",".469",".385","","149","-3.0","28.3","-16.0","3.2","20123"
"DJ LeMahieu","NYY","119","518","12","74","46","4","12.5%","13.5%",".121",".290",".265",".362",".386",".335","","121","-3.2","8.8","5.7","3.2","9874"
"Gavin Lux","LAD","115","418","6","62","42","7","11.0%","18.9%",".136",".355",".293",".368",".428",".350","","127","3.4","16.7","-0.1","3.2","19955"
"Travis d'Arnaud","ATL","87","346","16","50","53","0","4.6%","20.8%",".215",".296",".265",".318",".480",".346","","120","-2.0","6.0","12.8","3.2","7739"
"Willson Contreras","CHC","107","462","21","63","54","4","9.1%","21.2%",".225",".273",".246",".351",".471",".359","","132","-1.9","15.3","-0.6","3.2","11609"
"Shohei Ohtani","LAA","129","550","30","75","82","11","12.0%","24.2%",".256",".306",".266",".358",".522",".371","","143","-0.3","26.5","-13.5","3.2","19755"
"Ian Happ","CHC","130","532","15","62","63","7","9.2%","23.7%",".179",".348",".278",".352",".458",".351","","126","-0.3","15.9","-3.9","3.1","17919"
"Daulton Varsho","ARI","121","484","19","62","60","8","8.5%","23.6%",".193",".275",".237",".308",".430",".321","","103","0.8","2.7","10.9","3.1","19918"
"Cal Raleigh","SEA","99","343","21","37","50","1","9.0%","28.6%",".268",".220",".206",".280",".474",".323","","116","-1.1","5.0","14.2","3.1","21534"
"Starling Marte","NYM","116","500","16","76","63","18","5.2%","19.2%",".177",".343",".294",".348",".472",".357","","136","0.2","21.2","-8.5","3.1","9241"
"Cedric Mullins II","BAL","128","556","13","72","51","29","7.6%","18.3%",".144",".305",".264",".327",".408",".321","","110","3.1","9.3","2.0","3.0","17929"
"Ha-seong Kim","SDP","123","469","7","48","49","9","9.0%","17.3%",".122",".304",".259",".333",".381",".317","","106","0.3","3.9","8.8","3.0","27506"
"Vladimir Guerrero Jr.","TOR","130","568","27","75","80","5","8.6%","16.0%",".216",".296",".282",".350",".498",".364","","141","-4.6","21.2","-11.3","2.9","19611"
"Steven Kwan","CLE","118","497","3","67","37","12","9.9%","9.7%",".091",".322",".295",".369",".386",".335","","120","0.9","11.8","0.3","2.9","24610"
"Luis Arraez","MIN","118","500","8","73","45","4","9.2%","7.6%",".111",".333",".318",".382",".430",".357","","137","0.3","21.0","-9.2","2.9","18568"
"Adolis Garcia","TEX","128","548","22","74","83","22","5.7%","28.3%",".194",".315",".251",".297",".446",".320","","110","6.1","12.2","-2.1","2.9","19287"
"Bryce Harper","PHI","72","309","15","52","52","9","10.7%","17.8%",".260",".350",".320",".395",".580",".410","","165","-0.1","23.4","-7.0","2.8","11579"
"Pete Alonso","NYM","133","568","32","73","106","3","9.3%","19.7%",".239",".280",".268",".345",".507",".358","","137","-2.7","21.7","-14.4","2.8","19251"
"Jonah Heim","TEX","107","388","13","47","43","2","10.3%","19.1%",".177",".265",".238",".317",".414",".321","","110","-1.7","2.9","11.4","2.8","16930"
"Carlos Correa","MIN","107","461","15","55","45","0","11.3%","20.2%",".156",".311",".268",".351",".424",".340","","125","-3.6","9.4","2.2","2.7","14162"
"Matt Olson","ATL","134","586","27","70","87","0","10.6%","23.4%",".236",".283",".247",".329",".483",".348","","121","-1.4","13.2","-7.5","2.7","14344"
"Josh Rojas","ARI","100","417","7","55","45","18","10.6%","18.0%",".121",".329",".277",".354",".398",".331","","110","6.8","11.7","-0.6","2.6","19734"
"Jurickson Profar","SDP","126","548","13","71","51","5","12.2%","15.5%",".152",".268",".241",".339",".393",".326","","112","0.5","8.4","-2.3","2.6","10815"
"Nathaniel Lowe","TEX","127","522","23","62","67","2","7.3%","22.6%",".201",".364",".305",".358",".506",".373","","147","-2.6","25.2","-16.9","2.6","19566"
"Taylor Ward","LAA","106","447","17","56","47","3","11.4%","22.6%",".177",".307",".260",".349",".437",".345","","125","0.0","12.6","-2.1","2.6","17548"
"Ty France","SEA","113","495","18","50","69","0","6.3%","14.9%",".167",".302",".283",".350",".450",".348","","134","-1.3","17.7","-8.6","2.6","17982"
"Andrew Benintendi","- - -","126","521","5","54","51","8","10.0%","14.8%",".095",".349",".302",".371",".397",".341","","122","-0.6","12.0","-3.8","2.6","17901"
"Jazz Chisholm Jr.","MIA","60","241","14","39","45","12","8.7%","27.4%",".282",".294",".254",".325",".535",".365","","138","3.1","13.9","2.3","2.6","20454"
"Luis Robert","CHW","90","378","12","54","56","11","4.5%","18.3%",".151",".343",".300",".336",".451",".342","","124","4.7","14.9","-2.6","2.5","20043"
"Bo Bichette","TOR","129","564","18","69","71","9","5.9%","23.9%",".167",".324",".265",".309",".432",".322","","111","-1.2","5.5","1.0","2.5","19612"
"Anthony Rizzo","NYY","117","489","30","71","71","6","11.2%","19.0%",".268",".215",".225",".339",".493",".357","","137","-1.6","18.4","-9.6","2.5","3473"
"Brandon Drury","- - -","119","492","25","77","79","2","6.7%","22.0%",".233",".291",".262",".319",".496",".350","","121","-3.1","8.9","-1.5","2.5","11615"
"Mark Canha","NYM","113","427","11","57","52","2","9.6%","17.3%",".144",".313",".272",".370",".417",".350","","131","-0.1","15.3","-5.8","2.5","11445"
"Jorge Mateo","BAL","123","442","12","53","45","29","5.0%","28.1%",".168",".298",".229",".276",".398",".293","","90","5.6","0.8","9.2","2.5","17273"
"Rhys Hoskins","PHI","131","563","26","70","66","2","11.4%","24.5%",".218",".295",".251",".342",".468",".353","","126","-1.1","16.3","-12.3","2.4","16472"
"Ke'Bryan Hayes","PIT","112","466","6","44","36","14","8.6%","22.3%",".104",".307",".242",".311",".346",".294","","86","1.2","-6.2","12.8","2.3","18577"
"Jeremy Pena","HOU","109","446","16","54","46","7","4.3%","24.9%",".161",".297",".248",".286",".410",".302","","97","1.5","-0.1","8.4","2.3","21636"
"Randy Arozarena","TBR","126","530","18","59","70","27","7.4%","24.2%",".185",".328",".267",".334",".452",".342","","130","-6.7","11.2","-5.6","2.3","19290"
"Ryan McMahon","COL","126","494","13","52","58","7","10.5%","26.5%",".149",".320",".246",".330",".395",".321","","91","1.7","-3.3","8.7","2.3","15112"
"Matt Carpenter","NYY","47","154","15","28","37","0","12.3%","22.7%",".422",".304",".305",".412",".727",".472","","218","-0.8","19.5","-2.5","2.3","8090"
"Dylan Carlson","STL","110","430","8","48","39","5","8.8%","19.3%",".147",".285",".241",".316",".387",".310","","102","3.6","4.5","2.6","2.3","20126"
"Trevor Story","BOS","87","367","15","51","59","12","7.9%","30.5%",".196",".303",".236",".300",".432",".313","","99","3.7","3.3","6.8","2.3","12564"
"Elvis Andrus","- - -","120","447","10","48","41","8","7.4%","15.9%",".136",".272",".243",".302",".379",".301","","100","2.2","2.4","4.7","2.2","8709"
"Hunter Renfroe","MIL","97","404","23","47","58","1","7.9%","23.8%",".242",".286",".258",".323",".500",".353","","126","-2.0","10.5","-3.0","2.2","15464"
"Jace Peterson","MIL","88","262","8","36","30","10","8.8%","26.0%",".172",".333",".262",".331",".433",".332","","112","2.8","6.6","5.6","2.2","12325"
"Christian Yelich","MIL","125","546","11","83","45","16","13.0%","23.4%",".128",".332",".259",".360",".387",".331","","111","4.6","11.9","-9.5","2.2","11477"
"Teoscar Hernandez","TOR","105","427","19","53","62","6","6.8%","28.8%",".210",".335",".263",".316",".472",".341","","124","-1.8","9.9","-2.7","2.2","13066"
"Santiago Espinal","TOR","120","448","7","44","46","5","7.1%","14.5%",".110",".299",".266",".320",".376",".306","","100","-1.5","-1.8","8.4","2.2","19997"
"Isaac Paredes","TBR","84","295","18","43","40","0","10.2%","16.6%",".257",".204",".222",".305",".479",".338","","127","-0.6","8.4","3.0","2.2","20036"
"Anthony Santander","BAL","124","528","25","64","75","0","8.7%","18.6%",".206",".271",".255",".335",".461",".346","","128","0.2","16.8","-12.8","2.2","14551"
"Jon Berti","MIA","75","292","3","35","21","32","11.6%","21.6%",".106",".332",".259",".349",".365",".320","","108","6.2","8.9","1.7","2.1","12037"
"Lars Nootbaar","STL","80","256","11","42","35","4","15.2%","20.3%",".232",".261",".242",".355",".474",".358","","134","1.4","11.8","-0.3","2.1","21454"
"Josh Bell","- - -","131","557","16","68","66","0","12.2%","15.3%",".173",".300",".274",".366",".446",".354","","127","-5.4","12.5","-11.4","2.1","13145"
"Justin Turner","LAD","107","444","10","50","69","3","9.2%","16.2%",".156",".307",".274",".345",".431",".337","","118","-2.0","7.6","-3.0","2.1","5235"
"Ramon Urias","BAL","100","379","15","44","50","1","5.8%","22.2%",".176",".282",".248",".295",".424",".311","","103","0.2","1.4","6.2","2.0","18795"
"Thairo Estrada","SFG","113","437","11","57","52","16","5.7%","16.5%",".141",".292",".263",".319",".404",".317","","105","1.7","4.0","0.5","2.0","16426"
"Tim Anderson","CHW","79","351","6","50","25","13","4.0%","15.7%",".093",".347",".301",".339",".395",".323","","111","2.7","6.9","1.4","2.0","15172"
"Trayce Thompson","- - -","59","177","7","26","28","3","12.4%","35.6%",".229",".410",".268",".367",".497",".375","","144","3.0","12.3","0.6","2.0","9952"
"Max Kepler","MIN","109","432","9","53","43","3","11.3%","14.4%",".126",".251",".230",".324",".356",".304","","100","0.0","-0.3","5.5","2.0","12144"
"Bobby Witt Jr.","KCR","123","514","20","68","69","26","4.5%","22.2%",".196",".282",".248",".288",".444",".314","","102","5.4","6.5","-4.0","2.0","25764"
"Ronald Acuna Jr.","ATL","95","428","11","58","36","25","11.0%","23.4%",".138",".341",".271",".364",".409",".342","","117","4.6","13.4","-9.4","1.9","18401"
"Trent Grisham","SDP","129","470","16","53","49","5","11.9%","26.2%",".168",".233",".193",".300",".361",".295","","92","5.6","1.1","1.4","1.9","18564"
"Kyle Schwarber","PHI","127","546","36","81","78","6","12.1%","31.0%",".276",".243",".215",".313",".491",".345","","121","-1.5","11.9","-12.1","1.9","16478"
"William Contreras","ATL","75","294","17","40","37","2","9.9%","27.2%",".242",".327",".272",".344",".513",".369","","135","-1.2","11.0","-2.7","1.9","20503"
"Amed Rosario","CLE","124","538","8","69","52","12","4.3%","16.5%",".118",".323",".279",".312",".397",".309","","101","1.3","2.1","-0.9","1.9","15518"
"Austin Slater","SFG","109","286","5","43","31","11","13.6%","26.6%",".129",".366",".267",".378",".396",".346","","125","3.1","11.3","-3.4","1.8","16153"
"J.P. Crawford","SEA","119","499","5","51","34","3","10.0%","12.4%",".092",".281",".252",".334",".344",".305","","103","-0.6","1.2","0.7","1.8","15491"
"Bryan Reynolds","PIT","116","485","21","58","48","5","9.3%","23.5%",".198",".296",".253",".334",".451",".340","","118","-1.1","9.1","-8.1","1.8","19326"
"Jorge Polanco","MIN","104","445","16","54","56","3","14.4%","21.3%",".171",".269",".235",".346",".405",".333","","120","0.4","10.4","-7.0","1.8","13152"
"Jean Segura","PHI","71","282","8","34","26","13","6.7%","14.2%",".125",".314",".288",".348",".412",".335","","114","1.1","5.7","1.9","1.8","5933"
"Joc Pederson","SFG","109","356","21","47","61","3","9.0%","21.6%",".255",".292",".271",".348",".525",".373","","142","-0.5","17.2","-12.3","1.8","11899"
"Wilmer Flores","SFG","124","489","16","64","61","0","10.0%","16.0%",".176",".261",".244",".331",".420",".329","","113","-1.4","6.2","-5.8","1.8","5827"
"Harold Ramirez","TBR","94","336","5","40","48","3","4.8%","14.6%",".113",".372",".328",".366",".441",".351","","137","-2.0","11.9","-5.7","1.8","14387"
"Jake McCarthy","ARI","73","242","6","39","32","12","7.0%","20.7%",".165",".344",".284",".346",".450",".347","","121","4.1","10.0","-1.9","1.7","21622"
"Seby Zavala","CHW","49","174","2","17","20","0","9.2%","32.2%",".112",".417",".276",".349",".388",".327","","113","-0.2","2.4","8.5","1.7","18887"
"Michael A. Taylor","KCR","104","382","9","43","40","3","8.1%","25.1%",".118",".342",".266",".328",".384",".315","","103","1.0","2.1","2.1","1.7","11489"
"Dylan Moore","SEA","89","206","6","31","19","15","13.1%","31.1%",".182",".292",".206",".353",".388",".333","","123","2.9","8.2","1.2","1.7","18042"
"Manuel Margot","TBR","63","252","3","29","36","6","7.9%","17.1%",".113",".357",".300",".357",".413",".338","","127","1.7","9.4","-1.6","1.6","14712"
"Evan Longoria","SFG","69","231","12","29","30","0","10.4%","26.0%",".232",".301",".256",".338",".488",".355","","131","-1.1","7.2","0.6","1.6","9368"
"Kolten Wong","MIL","109","410","11","55","37","13","8.8%","17.6%",".174",".281",".250",".333",".424",".331","","112","2.8","8.4","-6.6","1.6","12532"
"Austin Hays","BAL","119","485","15","58","54","2","5.6%","20.4%",".173",".293",".253",".309",".426",".321","","110","0.6","6.0","-6.0","1.6","19363"
"Chas McCormick","HOU","95","328","12","37","37","2","11.0%","25.6%",".176",".287",".234",".320",".410",".322","","111","-0.1","3.9","1.0","1.6","19599"
"Christopher Morel","CHC","88","347","13","49","36","9","8.1%","31.1%",".197",".328",".245",".309",".443",".326","","109","1.7","5.4","-2.1","1.6","21897"
"C.J. Cron","COL","126","534","24","67","86","0","6.2%","26.0%",".212",".329",".271",".323",".484",".345","","107","-0.1","4.7","-7.7","1.6","12546"
"Chris Taylor","LAD","96","371","8","38","34","9","10.8%","36.1%",".163",".349",".225",".313",".388",".307","","98","2.3","1.4","1.0","1.6","13757"
"Jose Siri","- - -","76","240","5","43","18","11","6.3%","34.2%",".136",".319",".217",".275",".353",".277","","81","3.7","-1.4","8.7","1.6","17452"
"Brendan Donovan","STL","99","360","2","44","37","2","12.2%","16.4%",".083",".352",".290",".396",".373",".347","","127","-2.4","9.0","-6.6","1.5","24679"
"Brandon Crawford","SFG","95","367","7","38","43","1","8.4%","21.8%",".117",".278",".227",".308",".344",".289","","86","1.3","-4.9","6.9","1.5","5343"
"Brendan Rodgers","COL","119","514","11","62","60","0","7.0%","17.3%",".142",".314",".274",".325",".416",".323","","93","-2.2","-6.5","3.5","1.5","17907"
"Tyler Stephenson","CIN","50","183","6","24","35","1","6.6%","25.7%",".163",".409",".319",".372",".482",".371","","132","0.6","7.5","0.6","1.5","17988"
"David Peralta","- - -","111","405","12","35","50","1","8.4%","23.5%",".184",".307",".252",".319",".436",".324","","108","-0.4","3.2","-2.4","1.5","2136"
"Harrison Bader","STL","72","264","5","35","21","15","4.9%","17.8%",".114",".297",".256",".303",".370",".297","","93","4.6","2.4","2.9","1.5","18030"
"Christian Vazquez","- - -","102","373","8","38","47","1","5.6%","15.5%",".127",".322",".286",".330",".413",".325","","108","-8.1","-4.6","6.9","1.5","9774"
"Alec Bohm","PHI","124","514","10","69","61","1","4.9%","18.5%",".113",".339",".291",".325",".404",".317","","102","-0.7","0.5","-4.1","1.4","21618"
"Nicky Lopez","KCR","125","432","0","48","17","12","6.3%","14.1%",".051",".284",".240",".296",".292",".265","","67","5.2","-10.8","11.0","1.4","19339"
"Ryan Mountcastle","BAL","117","494","21","55","72","4","6.3%","24.9%",".191",".290",".248",".296",".440",".317","","107","1.1","4.9","-6.8","1.4","18373"
"Jose Iglesias","COL","113","449","3","48","47","2","3.8%","11.8%",".093",".337",".302",".339",".394",".322","","92","-2.8","-6.8","5.2","1.4","10231"
"Javier Baez","DET","117","480","12","48","49","8","4.8%","24.6%",".143",".280",".227",".271",".370",".280","","82","1.8","-7.9","6.4","1.4","12979"
"Tyrone Taylor","MIL","97","337","15","38","44","3","5.6%","25.8%",".209",".261",".225",".279",".434",".308","","96","1.1","-0.4","2.4","1.4","13675"
"Trey Mancini","- - -","117","492","16","49","58","0","8.1%","23.0%",".157",".309",".257",".329",".415",".326","","113","-1.2","6.2","-8.3","1.4","15149"
"Ramon Laureano","OAK","84","343","12","44","29","10","7.3%","25.9%",".172",".274",".223",".300",".395",".307","","106","2.3","4.7","-2.2","1.4","17128"
"Nick Gordon","MIN","109","326","6","35","35","6","4.6%","24.2%",".159",".353",".276",".319",".435",".327","","116","0.7","6.6","-3.6","1.4","16337"
"Ketel Marte","ARI","115","475","10","60","45","4","10.1%","17.9%",".167",".287",".249",".331",".416",".326","","107","-0.6","3.2","-6.2","1.4","13613"
"Christian Bethancourt","- - -","80","266","9","34","28","5","4.1%","23.3%",".155",".282",".238",".275",".393",".292","","95","-0.6","-2.1","6.8","1.4","10028"
"Adam Frazier","SEA","130","517","3","56","33","8","8.1%","11.6%",".074",".272",".245",".310",".318",".281","","87","-0.5","-8.3","5.0","1.4","15223"
"Mike Yastrzemski","SFG","119","447","12","57","44","5","11.9%","24.8%",".161",".256",".208",".309",".369",".302","","95","2.3","-0.6","-1.9","1.3","14854"
"Keibert Ruiz","WSN","107","416","6","30","33","6","6.7%","11.8%",".106",".267",".245",".306",".351",".292","","85","-0.2","-7.6","6.1","1.3","19610"
"Leody Taveras","TEX","71","248","3","30","29","9","6.5%","24.6%",".114",".371",".285",".331",".399",".319","","109","1.1","3.6","1.1","1.3","18900"
"Jose Miranda","MIN","94","354","13","36","56","1","5.1%","20.6%",".171",".314",".272",".325",".443",".336","","122","-1.6","7.1","-5.7","1.3","20538"
"Luis Rengifo","LAA","98","384","11","33","39","5","3.6%","15.9%",".158",".293",".265",".298",".423",".313","","103","2.3","3.4","-3.0","1.3","19858"
"Max Muncy","LAD","110","455","16","54","51","2","16.3%","25.3%",".177",".214",".185",".319",".362",".305","","97","1.9","0.1","-3.3","1.3","13301"
"Luis Urias","MIL","99","401","14","45","42","1","11.5%","21.7%",".164",".252",".222",".324",".386",".316","","101","0.0","0.6","-1.9","1.3","16622"
"Sam Haggerty","SEA","61","140","4","23","15","10","5.0%","26.4%",".172",".386",".297",".345",".469",".348","","134","2.0","7.3","0.5","1.3","18054"
"Seiya Suzuki","CHC","93","375","10","43","40","8","9.3%","24.5%",".159",".332",".263",".336",".422",".330","","111","-1.0","4.1","-4.7","1.3","30116"
"Keston Hiura","MIL","63","212","14","29","29","5","9.0%","41.5%",".242",".381",".247",".340",".489",".361","","132","1.1","9.1","-4.4","1.2","20003"
"Josh Donaldson","NYY","110","449","12","46","50","2","9.8%","27.6%",".157",".281",".218",".303",".375",".299","","96","-4.5","-6.7","4.5","1.2","5038"
"Gleyber Torres","NYY","118","471","18","57","51","6","5.9%","22.7%",".178",".277",".240",".289",".419",".307","","101","-2.5","-1.9","-1.1","1.2","16997"
"Daniel Vogelbach","- - -","109","387","16","40","49","0","15.8%","25.1%",".207",".278",".231",".354",".438",".349","","125","-2.0","9.6","-10.9","1.2","14130"
"Josh Naylor","CLE","97","387","16","35","61","5","6.7%","15.2%",".188",".266",".259",".313",".446",".327","","113","-2.5","3.3","-3.7","1.2","18839"
"Eloy Jimenez","CHW","58","220","9","23","33","0","9.5%","20.9%",".169",".352",".303",".373",".472",".369","","143","-0.1","10.5","-5.7","1.2","17484"
"Nick Fortes","MIA","52","163","7","30","18","5","6.7%","18.4%",".184",".264",".245",".319",".429",".329","","113","0.1","2.7","3.4","1.2","21538"
"Michael Brantley","HOU","64","277","5","28","26","1","11.2%","10.8%",".128",".311",".288",".370",".416",".345","","128","-0.7","7.9","-4.9","1.2","4106"
"Omar Narvaez","MIL","67","241","4","19","19","0","10.8%","19.5%",".114",".267",".223",".315",".336",".293","","86","-0.6","-4.7","8.2","1.2","13338"
"Cody Bellinger","LAD","118","463","17","59","54","11","6.9%","27.4%",".186",".242",".202",".259",".388",".281","","81","3.8","-6.8","2.7","1.2","15998"
"Gio Urshela","MIN","113","422","11","45","53","0","6.9%","17.5%",".158",".299",".266",".313",".424",".318","","110","-5.0","-0.4","-1.3","1.2","10681"
"Emmanuel Rivera","- - -","85","304","11","42","35","0","6.9%","21.4%",".194",".287",".248",".313",".442",".329","","111","-1.3","2.6","-1.1","1.2","19890"
"Luis Guillorme","NYM","86","289","2","31","14","1","10.0%","13.5%",".074",".327",".283",".355",".357",".319","","110","-5.3","-2.0","3.5","1.2","16451"
"Patrick Wisdom","CHC","117","471","22","60","58","7","10.8%","33.5%",".221",".288",".217",".311",".438",".326","","109","-0.4","4.8","-9.6","1.2","13602"
"Wander Franco","TBR","58","247","5","34","23","5","6.9%","10.5%",".137",".271",".260",".308",".396",".305","","104","2.4","3.5","-0.1","1.2","23667"
"Josh Harrison","CHW","101","362","6","42","24","1","5.2%","16.3%",".116",".288",".250",".314",".366",".303","","96","-1.8","-3.4","3.2","1.2","8202"
"Gary Sanchez","MIN","99","365","13","35","45","2","8.2%","27.7%",".179",".263",".213",".285",".392",".297","","95","-2.4","-4.5","4.1","1.2","11442"
"Alex Verdugo","BOS","127","534","8","61","62","1","6.2%","12.5%",".121",".310",".281",".328",".403",".319","","103","-1.8","-0.1","-5.7","1.2","17027"
"Lourdes Gurriel Jr.","TOR","117","480","5","51","51","3","6.0%","16.7%",".109",".343",".290",".340",".398",".325","","113","-4.5","2.3","-6.5","1.1","19238"
"Kyle Farmer","CIN","113","459","8","48","59","4","5.9%","17.0%",".112",".303",".262",".326",".374",".311","","92","-3.1","-7.5","2.7","1.1","14813"
"Albert Pujols","STL","83","266","15","28","41","1","8.3%","15.4%",".242",".261",".268",".346",".511",".366","","140","-5.4","7.1","-5.3","1.1","1177"
