"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Miles Mikolas","STL","3","1","0","7","7","42.1","6.59","1.70","0.43",".244","89.3%","48.8%","4.7%","93.3","1.49","","2.96","3.73","0.9","9803"
"Bruce Zimmermann","BAL","2","2","0","7","7","36.1","7.93","2.23","0.74",".311","76.6%","37.9%","7.5%","90.8","2.72","","3.32","3.75","0.9","20370"
"Walker Buehler","LAD","4","1","0","7","7","41.2","7.56","2.16","0.65",".295","81.2%","44.4%","7.0%","95.4","2.81","","3.22","3.69","0.8","19374"
"Chris Bassitt","NYM","4","2","0","7","7","42.1","9.78","2.55","0.85",".260","87.3%","45.8%","9.3%","92.7","2.34","","3.36","3.52","0.8","12304"
"Sean Manaea","SDP","2","3","0","7","7","43.0","10.47","2.93","1.05",".276","70.7%","39.1%","10.9%","","3.77","","3.27","3.21","0.8","15873"
"Patrick Sandoval","LAA","1","1","0","5","5","26.2","9.11","4.05","0.00",".301","76.5%","45.8%","0.0%","93.3","2.03","","2.43","3.75","0.8","19447"
"Carlos Carrasco","NYM","3","1","0","6","6","36.2","8.10","1.47","0.74",".275","74.7%","42.7%","8.3%","93.4","3.19","","3.02","3.29","0.8","6632"
"Triston McKenzie","CLE","2","2","0","6","5","29.1","9.20","2.76","0.31",".278","75.9%","32.4%","2.9%","92.7","2.76","","2.73","3.86","0.8","18000"
"Tyler Mahle","CIN","2","4","0","8","8","36.2","9.82","4.42","0.74",".324","56.2%","35.6%","6.4%","93.8","5.89","","3.46","4.14","0.8","16358"
"Zack Greinke","KCR","0","2","0","7","7","38.1","3.29","0.70","0.47",".292","67.9%","38.4%","3.6%","88.8","3.52","","3.44","4.71","0.8","1943"
"Logan Gilbert","SEA","4","1","0","7","7","38.0","9.95","3.32","0.71",".269","82.5%","37.9%","8.6%","95.7","2.13","","3.10","3.33","0.8","22250"
"Ryan Helsley","STL","1","0","1","9","0","11.2","16.20","0.77","0.00",".071","100.0%","50.0%","0.0%","99.4","0.00","","-0.24","0.46","0.7","18138"
"MacKenzie Gore","SDP","2","1","0","5","5","26.0","9.69","3.12","0.35",".328","82.3%","41.8%","4.5%","95.3","2.42","","2.60","3.25","0.7","22201"
"Framber Valdez","HOU","2","2","0","7","7","40.0","7.20","3.83","0.23",".284","76.0%","69.0%","12.5%","93.6","2.93","","3.33","3.28","0.7","17295"
"Aaron Nola","PHI","1","4","0","7","7","40.0","10.58","1.58","1.35",".281","72.3%","52.5%","18.2%","92.7","3.83","","3.45","2.62","0.7","16149"
"Drew Rasmussen","TBR","3","1","0","7","7","33.2","7.22","2.14","0.53",".221","75.3%","47.4%","6.7%","96.0","2.67","","3.07","3.51","0.7","25385"
"A.J. Minter","ATL","0","0","0","15","0","14.2","13.50","1.23","0.00",".241","70.0%","17.2%","0.0%","96.5","1.84","","0.72","2.48","0.7","18655"
"Zach Eflin","PHI","1","2","0","5","5","24.0","6.75","1.88","0.38",".325","55.6%","44.9%","3.8%","93.7","4.50","","2.90","3.83","0.7","13774"
"Alek Manoah","TOR","4","0","0","6","6","36.0","8.75","2.25","0.75",".222","90.9%","36.6%","7.3%","94.2","1.75","","3.24","3.71","0.7","26410"
"Zack Wheeler","PHI","1","3","0","6","6","31.2","9.09","2.84","0.57",".322","69.7%","40.4%","6.7%","96.0","4.26","","3.14","3.60","0.7","10310"
"Jameson Taillon","NYY","3","1","0","6","6","30.2","7.34","0.88","0.88",".313","82.8%","46.9%","7.9%","94.1","2.93","","3.23","3.65","0.7","11674"
"Josh Hader","MIL","0","0","13","13","0","12.1","13.14","3.65","0.00",".091","100.0%","45.5%","0.0%","","0.00","","1.40","2.61","0.7","14212"
"Chad Kuhl","COL","3","1","0","6","6","34.1","7.86","3.15","0.79",".220","77.9%","44.7%","9.4%","94.1","2.88","","3.54","3.67","0.7","14975"
"Adrian Houser","MIL","3","3","0","6","6","30.1","7.42","4.45","0.30",".290","60.1%","45.7%","4.0%","94.6","3.86","","3.37","4.06","0.7","12718"
"Patrick Corbin","WSN","0","5","0","7","7","32.2","8.54","4.68","0.28",".371","59.0%","44.8%","3.0%","91.2","6.06","","3.35","4.32","0.7","9323"
"Frankie Montas","OAK","2","3","0","7","7","43.0","8.58","2.51","1.05",".241","68.4%","49.6%","13.2%","96.1","3.77","","3.62","3.30","0.7","14309"
"Kenley Jansen","ATL","2","0","8","13","0","13.2","12.51","1.98","0.00",".214","55.6%","35.7%","0.0%","","2.63","","0.98","2.47","0.6","3096"
"Brad Boxberger","MIL","1","0","0","13","0","11.1","7.94","0.79","0.00",".241","75.0%","41.4%","0.0%","93.7","1.59","","1.60","2.56","0.6","10133"
"Dane Dunning","TEX","1","2","0","7","7","37.2","8.84","3.11","0.72",".292","70.8%","50.9%","10.7%","","4.06","","3.29","3.26","0.6","19409"
"Gerrit Cole","NYY","3","0","0","7","7","36.2","11.29","2.95","1.23",".273","85.7%","44.1%","16.1%","97.8","2.95","","3.43","2.81","0.6","13125"
"Tylor Megill","NYM","4","2","0","7","7","34.2","9.61","2.34","1.04",".280","66.9%","43.2%","12.5%","95.7","4.41","","3.34","3.09","0.6","21318"
"Joe Ryan","MIN","3","2","0","6","6","31.2","8.81","3.41","0.57",".228","80.7%","32.9%","4.9%","92.4","2.56","","3.39","4.33","0.6","21390"
"Clay Holmes","NYY","4","0","2","17","0","17.1","8.83","1.04","0.00",".250","92.9%","81.8%","0.0%","97.8","0.52","","1.66","1.98","0.6","13649"
"Noah Syndergaard","LAA","3","1","0","5","5","29.1","6.44","1.84","0.61",".258","82.8%","49.5%","6.3%","94.6","2.45","","3.38","3.97","0.6","11762"
"Alex Cobb","SFG","2","1","0","5","5","20.1","12.39","3.54","0.44",".365","52.6%","69.2%","9.1%","","3.98","","2.17","2.27","0.6","6562"
"Rich Hill","BOS","1","1","0","6","6","28.0","6.75","2.25","0.64",".268","75.3%","33.3%","5.3%","88.4","2.89","","3.39","4.30","0.6","4806"
"Garrett Whitlock","BOS","1","1","1","8","4","24.2","12.41","2.92","1.09",".226","85.1%","39.3%","12.5%","95.5","2.19","","2.90","2.64","0.6","20191"
"Luis Garcia","HOU","3","1","0","6","6","33.2","9.89","2.41","1.34",".222","80.8%","38.4%","11.4%","94.6","2.94","","3.73","3.57","0.6","23735"
"Trevor Stephan","CLE","2","0","1","14","0","15.0","9.60","1.80","0.00",".194","70.0%","44.4%","0.0%","96.8","1.20","","1.57","2.75","0.5","19932"
"Eduardo Rodriguez","DET","1","2","0","7","7","38.2","7.91","3.49","0.93",".248","56.9%","37.5%","8.7%","92.4","3.72","","3.85","4.12","0.5","13164"
"Brock Burke","TEX","3","0","0","10","0","18.2","13.02","2.41","0.48",".325","85.2%","32.5%","6.7%","95.1","1.45","","1.71","2.11","0.5","17968"
"Shane Bieber","CLE","1","2","0","7","7","38.2","8.38","2.79","0.93",".300","74.3%","41.1%","9.8%","91.3","3.72","","3.60","3.69","0.5","19427"
"J.P. Feyereisen","TBR","3","0","0","13","2","16.1","7.71","1.65","0.00",".081","100.0%","40.5%","0.0%","93.0","0.00","","1.94","3.60","0.5","16610"
"Eric Lauer","MIL","3","1","0","6","6","34.2","12.72","2.08","1.82",".257","90.9%","30.8%","17.9%","94.1","2.60","","3.59","2.50","0.5","19316"
"Jordan Montgomery","NYY","0","1","0","7","7","35.1","7.39","2.04","0.76",".267","79.4%","48.5%","9.1%","92.3","3.06","","3.59","3.75","0.5","16511"
"Jake Odorizzi","HOU","3","2","0","6","6","26.2","5.74","3.71","0.34",".266","64.4%","34.2%","2.9%","92.4","3.38","","3.67","4.91","0.5","6397"
"Adam Wainwright","STL","3","3","0","6","6","34.0","7.41","3.44","0.53",".299","77.7%","57.6%","8.0%","88.3","3.18","","3.37","3.60","0.5","2233"
"Kyle Freeland","COL","1","4","0","7","7","36.2","6.38","2.70","0.98",".350","65.0%","49.6%","12.1%","91.0","4.91","","4.25","4.05","0.5","16256"
"Kyle Gibson","PHI","3","1","0","7","7","37.1","7.23","3.13","0.96",".264","68.5%","53.2%","12.9%","91.9","4.10","","3.93","3.67","0.5","10123"
"Tony Gonsolin","LAD","3","0","0","6","6","27.0","7.67","4.33","0.33",".211","87.4%","48.6%","4.2%","93.6","1.33","","3.44","4.16","0.5","19388"
"Victor Arano","WSN","0","0","0","15","0","14.2","12.27","2.45","0.00",".364","64.7%","56.3%","0.0%","94.0","3.68","","1.40","2.05","0.5","15915"
"Austin Gomber","COL","2","3","0","6","6","33.0","7.91","2.73","1.09",".300","65.0%","49.5%","13.3%","91.0","4.36","","3.83","3.49","0.5","16561"
"David Bednar","PIT","0","0","6","14","0","17.0","13.24","1.59","1.06",".194","100.0%","24.2%","12.5%","96.8","1.06","","2.22","1.97","0.5","19569"
"Brandon Woodruff","MIL","3","2","0","6","6","28.2","11.62","3.14","1.26",".342","59.3%","40.0%","12.1%","96.2","5.97","","3.59","3.34","0.5","16162"
"Andrew Heaney","LAD","1","0","0","2","2","10.1","13.94","2.61","0.00",".200","87.5%","45.0%","0.0%","91.7","0.00","","1.17","2.09","0.5","15423"
"Jorge Lopez","BAL","3","2","4","15","0","17.0","9.00","4.76","0.00",".205","77.8%","54.5%","0.0%","97.8","1.06","","2.69","3.65","0.5","14527"
"Jason Adam","TBR","0","1","1","15","0","15.1","11.74","2.35","0.00",".129","70.0%","36.7%","0.0%","94.7","1.17","","1.67","3.09","0.5","11861"
"Hector Neris","HOU","1","1","0","17","0","16.0","8.44","0.56","0.00",".179","88.9%","25.6%","0.0%","94.2","0.56","","1.60","3.39","0.5","11804"
"Tyler Wells","BAL","1","2","0","6","6","24.0","6.38","1.50","1.13",".274","75.6%","38.7%","8.6%","94.1","3.75","","3.94","4.29","0.5","20000"
"Jeffrey Springs","TBR","1","1","0","10","2","17.0","9.53","1.59","0.53",".225","77.6%","52.5%","7.7%","92.1","2.12","","2.28","2.55","0.5","17677"
"Scott Effross","CHC","0","1","0","15","1","14.0","10.29","0.64","0.00",".282","58.3%","52.6%","0.0%","90.6","1.29","","1.03","2.29","0.5","18384"
"Nick Pivetta","BOS","1","4","0","7","7","33.2","8.82","3.74","1.07",".312","68.4%","29.9%","10.5%","93.2","5.08","","4.03","4.01","0.5","15454"
"Kendall Graveman","CHW","0","1","2","15","0","17.1","8.83","2.60","0.00",".292","73.7%","63.8%","0.0%","96.3","1.56","","2.01","2.79","0.5","15514"
"Yu Darvish","SDP","3","1","0","7","7","39.0","7.38","2.54","0.92",".272","66.0%","40.7%","8.9%","95.3","4.62","","3.80","4.03","0.5","13074"
"Jordan Lyles","BAL","2","3","0","7","7","39.0","7.38","3.23","1.15",".336","74.5%","42.6%","12.5%","92.3","4.38","","4.44","4.16","0.4","7593"
"Matt Strahm","BOS","1","1","1","14","0","11.0","9.00","1.64","0.00",".214","50.0%","50.0%","0.0%","94.7","2.45","","1.65","3.01","0.4","13799"
"Taylor Rogers","SDP","0","0","13","14","0","14.0","9.64","1.29","0.00",".188","90.9%","43.8%","0.0%","94.3","0.64","","2.03","3.20","0.4","13449"
"Zach Davies","ARI","2","1","0","7","7","35.1","7.13","3.82","0.76",".242","66.1%","48.5%","9.1%","","3.57","","3.90","4.06","0.4","13183"
"Felix Bautista","BAL","0","1","2","14","0","14.0","10.29","3.21","0.64",".281","88.2%","21.9%","5.6%","98.4","1.93","","2.82","3.64","0.4","20666"
"Humberto Castellanos","ARI","2","1","0","7","5","25.0","5.76","2.52","0.36",".282","62.1%","35.1%","2.9%","89.1","4.32","","3.42","4.75","0.4","21183"
"Robbie Ray","SEA","3","3","0","7","7","42.2","8.65","3.16","1.27",".261","72.8%","37.1%","12.0%","93.2","4.22","","4.14","3.90","0.4","11486"
"Tyler Anderson","LAD","3","0","0","6","4","28.2","8.48","1.57","1.26",".284","70.4%","33.3%","9.5%","90.5","4.40","","3.77","3.94","0.4","12880"
"Sandy Alcantara","MIA","2","2","0","7","7","42.2","7.80","4.01","0.84",".266","80.6%","48.6%","11.1%","97.6","2.74","","4.07","3.99","0.4","18684"
"Ross Stripling","TOR","0","1","0","7","5","23.0","7.04","1.96","0.78",".301","64.9%","53.3%","8.7%","91.8","4.70","","3.32","3.55","0.4","13273"
"John Brebbia","SFG","0","0","0","14","0","15.1","8.80","2.35","0.00",".275","73.3%","45.0%","0.0%","94.2","2.35","","1.93","3.52","0.4","12777"
"Will Vest","DET","0","1","1","12","0","15.1","11.74","1.76","0.59",".111","90.9%","50.0%","9.1%","95.1","1.17","","2.13","2.25","0.4","19769"
"Connor Overton","CIN","1","0","0","3","3","17.0","4.24","3.18","0.00",".250","83.3%","43.8%","0.0%","91.7","1.59","","3.22","4.42","0.4","18376"
"Jimmy Herget","LAA","0","0","0","13","1","16.1","9.92","0.55","0.55",".362","62.5%","46.8%","10.0%","92.4","3.86","","1.88","1.92","0.4","17556"
"Spencer Strider","ATL","0","1","0","7","0","17.2","13.25","4.58","0.00",".306","70.0%","25.0%","0.0%","98.6","3.06","","1.69","3.00","0.4","27498"
"Brad Keller","KCR","1","3","0","6","6","36.2","5.40","2.21","0.98",".215","75.7%","51.4%","11.4%","93.9","2.70","","4.06","3.94","0.4","15734"
"Luis Garcia","SDP","1","2","0","12","0","11.2","6.94","0.77","0.00",".289","41.7%","57.9%","0.0%","","3.09","","1.82","2.63","0.4","6984"
"Dany Jimenez","OAK","1","1","6","13","0","13.0","10.38","3.46","0.00",".242","84.6%","42.4%","0.0%","94.4","0.00","","1.95","3.62","0.4","21170"
"Kyle Nelson","ARI","1","0","0","13","0","13.1","9.45","1.35","0.00",".233","80.0%","44.8%","0.0%","91.5","1.35","","1.68","2.60","0.4","20515"
"Brooks Raley","TBR","1","0","3","12","0","10.0","11.70","1.80","0.00",".320","72.7%","48.0%","0.0%","","2.70","","1.40","1.81","0.4","10061"
"Seranthony Dominguez","PHI","2","1","0","14","0","13.2","11.85","3.95","0.00",".310","75.0%","55.2%","0.0%","97.1","2.63","","2.01","2.60","0.4","19249"
"Joe Mantiply","ARI","1","0","2","15","0","12.2","6.39","0.71","0.00",".250","90.0%","50.0%","0.0%","90.8","0.71","","1.92","2.99","0.4","14857"
"Bryan Baker","BAL","1","1","0","12","1","12.1","10.22","1.46","0.73",".344","63.5%","39.4%","12.5%","94.3","4.38","","2.37","2.20","0.4","19804"
"Trevor Rogers","MIA","2","4","0","7","7","32.1","8.07","3.62","0.84",".305","67.0%","38.5%","8.6%","94.6","4.45","","3.82","4.08","0.4","22286"
"Lucas Giolito","CHW","2","1","0","5","5","26.2","12.49","3.04","1.69",".296","95.7%","32.2%","19.2%","93.7","2.70","","3.78","2.67","0.4","15474"
"Corey Knebel","PHI","0","2","7","14","0","14.1","8.79","3.14","0.00",".289","70.6%","36.8%","0.0%","95.6","2.51","","2.41","3.92","0.4","15010"
"Daulton Jefferies","OAK","1","6","0","7","7","35.1","5.86","1.27","1.02",".302","64.4%","45.4%","8.9%","92.8","4.84","","3.87","4.13","0.4","19345"
"Dillon Peters","PIT","3","1","0","10","3","19.2","6.86","4.12","0.00",".109","71.4%","45.7%","0.0%","93.0","1.83","","2.95","4.19","0.4","18790"
"Jesus Luzardo","MIA","2","3","0","6","6","29.0","12.72","4.97","1.24",".241","70.4%","38.7%","16.7%","97.2","4.03","","3.73","3.06","0.4","19959"
"Josh Winder","MIN","2","1","0","6","3","25.2","7.71","2.45","1.05",".221","76.9%","40.8%","12.5%","94.6","2.45","","3.73","3.48","0.4","24606"
"George Kirby","SEA","0","0","0","2","2","10.0","7.20","0.90","0.00",".233","62.5%","40.0%","0.0%","96.2","0.90","","1.80","3.30","0.4","25436"
"Drew Smith","NYM","0","1","0","13","0","14.1","11.93","5.02","0.00",".179","92.3%","28.6%","0.0%","95.6","0.63","","2.13","3.45","0.4","17755"
"A.J. Puk","OAK","1","0","0","10","0","15.0","9.00","1.80","0.00",".237","91.7%","43.2%","0.0%","96.6","0.60","","1.70","2.70","0.4","19343"
"Jose Urquidy","HOU","2","1","0","6","6","28.2","5.97","1.26","1.26",".323","74.9%","32.3%","8.7%","93.8","4.40","","4.12","4.48","0.4","18413"
"Chris Stratton","PIT","1","1","2","14","0","12.1","9.49","2.92","0.00",".419","54.5%","46.3%","0.0%","92.3","5.84","","1.97","3.73","0.4","13761"
"Jeff Hoffman","CIN","0","0","0","13","0","19.2","8.69","2.75","0.46",".283","82.5%","29.6%","3.1%","94.8","1.83","","2.75","4.30","0.4","17432"
"Anthony Bass","MIA","1","1","0","15","0","15.0","9.60","1.80","0.60",".176","81.4%","34.3%","6.3%","95.1","1.20","","2.44","3.02","0.4","7982"
"Bryse Wilson","PIT","0","2","0","6","4","21.2","8.31","4.15","0.83",".318","53.0%","40.3%","8.0%","93.0","5.82","","3.84","4.21","0.4","19990"
"Evan Phillips","LAD","1","1","0","13","0","13.1","10.80","1.35","0.68",".233","62.5%","38.7%","6.7%","96.0","3.38","","2.35","2.91","0.3","17734"
"Cal Quantrill","CLE","1","2","0","6","6","34.1","5.24","3.93","0.52",".257","66.4%","39.4%","5.0%","92.5","3.93","","4.09","4.92","0.3","19312"
"Michael Wacha","BOS","3","0","0","5","5","26.0","6.58","3.81","0.69",".162","94.3%","44.3%","8.0%","93.4","1.38","","3.91","4.22","0.3","14078"
"Cristian Javier","HOU","2","1","0","7","3","25.1","10.66","3.20","0.71",".288","78.0%","29.3%","6.5%","93.7","3.20","","3.18","3.82","0.3","17606"
"Kyle Hendricks","CHC","2","3","0","8","8","44.2","6.45","3.02","1.21",".265","77.1%","37.5%","10.7%","87.2","4.03","","4.63","4.58","0.3","12049"
"Reid Detmers","LAA","2","1","0","6","6","31.0","5.81","2.32","0.87",".174","63.0%","42.7%","8.3%","93.4","3.77","","4.04","4.36","0.3","27468"
"Collin McHugh","ATL","0","1","0","12","0","12.0","13.50","3.00","0.75",".400","64.1%","35.5%","7.7%","90.8","5.25","","2.19","2.58","0.3","7531"
"Jesse Chavez","- - -","0","0","0","10","1","14.0","9.00","1.29","0.64",".415","75.3%","28.6%","7.1%","90.6","3.86","","2.46","2.89","0.3","5448"
"Luis Severino","NYY","2","0","0","6","6","28.2","9.73","2.83","1.26",".316","74.9%","45.7%","13.8%","96.6","4.08","","3.80","3.36","0.3","15890"
"John Means","BAL","0","0","0","2","2","8.0","7.88","2.25","0.00",".320","70.0%","40.0%","0.0%","92.3","3.38","","2.10","3.63","0.3","16269"
"Jose Quintana","PIT","1","1","0","6","6","30.0","7.50","3.90","0.60",".250","81.9%","45.3%","6.9%","90.8","2.70","","3.70","4.15","0.3","11423"
"Rowan Wick","CHC","1","0","3","12","0","12.2","12.08","4.26","0.00",".364","83.3%","39.4%","0.0%","94.5","1.42","","1.84","2.91","0.3","14646"
"Rafael Montero","HOU","1","0","3","14","0","13.2","11.20","1.98","0.66",".233","100.0%","58.1%","12.5%","96.3","0.66","","2.23","2.07","0.3","12760"
"Wil Crowe","PIT","2","2","1","13","0","21.0","8.57","4.29","0.00",".250","69.2%","41.8%","0.0%","95.0","2.57","","2.91","4.27","0.3","19800"
"Tanner Rainey","WSN","0","1","3","10","0","9.2","11.17","1.86","0.00",".370","58.3%","40.7%","0.0%","96.1","2.79","","1.24","2.79","0.3","17610"
"Corey Kluber","TBR","1","2","0","6","6","29.2","8.19","1.82","1.21",".333","72.7%","41.8%","11.8%","90.8","4.55","","3.74","3.55","0.3","2429"
"Antonio Senzatela","COL","2","2","0","6","6","27.2","2.60","2.28","0.65",".405","69.0%","40.9%","6.7%","94.0","4.88","","4.33","4.87","0.3","15488"
"Michael Lorenzen","LAA","4","2","0","6","6","35.1","6.11","2.80","1.02",".242","75.6%","54.9%","11.1%","95.5","3.57","","4.24","4.15","0.3","14843"
"Giovanny Gallegos","STL","0","1","6","12","0","12.0","7.50","2.25","0.00",".314","64.3%","34.3%","0.0%","93.8","3.75","","2.19","4.00","0.3","14986"
"Erick Fedde","WSN","2","2","0","7","7","34.0","8.47","4.76","1.06",".302","74.9%","41.4%","11.8%","","4.24","","4.34","4.17","0.3","17425"
"Tyler Kinley","COL","0","0","0","14","0","12.1","9.49","3.65","0.00",".250","71.4%","53.1%","0.0%","95.8","0.73","","2.46","3.45","0.3","18297"
"Dillon Tate","BAL","0","1","1","15","0","16.2","7.56","1.08","0.54",".227","79.4%","53.3%","10.0%","","2.16","","2.74","2.78","0.3","17796"
"Keegan Akin","BAL","1","0","0","9","0","21.0","7.29","1.71","0.43",".218","83.3%","50.9%","6.3%","93.6","1.71","","2.68","3.09","0.3","19362"
"Joe Smith","MIN","1","0","0","14","0","11.2","6.17","1.54","0.00",".219","88.9%","65.6%","0.0%","86.1","0.00","","2.25","3.06","0.3","3281"
"Brett Martin","TEX","0","3","0","16","0","13.1","8.10","2.70","0.00",".317","58.8%","53.7%","0.0%","93.6","4.05","","2.20","3.22","0.3","17369"
"Tanner Houck","BOS","2","3","0","7","4","23.2","8.75","4.18","0.38",".333","60.7%","39.7%","5.3%","95.4","5.70","","3.48","4.03","0.3","19879"
"Reynaldo Lopez","CHW","4","0","0","11","0","12.2","5.68","2.84","0.00",".297","60.0%","36.1%","0.0%","95.7","3.55","","2.79","4.50","0.3","16400"
"Erik Swanson","SEA","0","0","0","13","0","14.0","13.50","0.64","1.29",".276","100.0%","35.5%","14.3%","94.4","1.29","","2.18","1.68","0.3","16587"
"Tyler Rogers","SFG","0","1","0","15","0","13.2","6.59","1.32","0.00",".282","78.6%","52.6%","0.0%","82.3","1.98","","2.30","3.29","0.3","15541"
"Bailey Ober","MIN","1","1","0","4","4","19.2","7.32","2.29","0.92",".283","75.5%","21.0%","6.1%","91.9","2.75","","3.56","4.52","0.3","21224"
"Alex Lange","DET","0","1","0","15","0","12.2","10.66","3.55","0.00",".226","76.9%","56.7%","0.0%","96.2","2.13","","2.16","3.12","0.3","19883"
"Scott Barlow","KCR","2","0","3","13","0","14.2","7.98","2.45","0.61",".243","95.2%","47.4%","6.3%","93.5","1.23","","3.04","3.63","0.3","14993"
"Joel Payamps","KCR","1","1","0","9","0","13.0","7.62","2.08","0.00",".357","77.8%","48.8%","0.0%","94.7","2.08","","2.10","3.67","0.3","14332"
"Justin Steele","CHC","1","4","0","6","6","22.0","7.77","5.32","0.41",".352","63.8%","50.0%","4.5%","93.0","5.32","","3.74","4.51","0.3","17312"
"Sam Hentges","CLE","0","0","0","12","0","14.0","11.57","1.29","0.00",".233","80.0%","63.3%","0.0%","95.2","1.29","","1.18","1.76","0.3","18548"
"Trevor Gott","MIL","1","0","0","12","0","11.0","12.27","1.64","0.82",".280","52.1%","48.0%","12.5%","94.6","3.27","","2.38","2.18","0.3","15046"
"Andrew Chafin","DET","0","0","0","9","0","7.0","12.86","1.29","0.00",".389","75.0%","55.6%","0.0%","90.7","2.57","","0.68","1.84","0.3","12988"
"Ranger Suarez","PHI","4","1","0","7","7","36.1","6.94","3.22","1.24",".286","77.3%","47.8%","13.2%","93.9","3.72","","4.51","4.14","0.3","17277"
"Aaron Loup","LAA","0","2","0","16","0","15.2","8.62","1.15","0.57",".146","41.7%","56.1%","7.7%","","1.72","","2.79","3.08","0.3","10343"
"Matt Foster","CHW","0","0","0","15","0","15.2","8.62","2.30","0.57",".302","78.3%","38.6%","5.9%","93.8","2.87","","2.79","3.43","0.3","19647"
"Daniel Bard","COL","1","0","9","12","0","11.1","11.91","2.38","0.79",".231","75.5%","48.1%","10.0%","98.4","2.38","","2.93","2.98","0.3","7115"
"Cody Stashak","MIN","3","0","0","8","0","13.1","8.10","0.00","0.68",".317","63.5%","21.4%","4.3%","90.9","4.05","","2.28","3.65","0.3","18088"
