"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Aaron Nola","PHI","11","13","0","32","32","205.0","10.32","1.27","0.83",".289","73.0%","43.6%","9.8%","92.9","3.25","2.74","2.58","2.77","6.3","16149"
"Carlos Rodon","SFG","14","8","0","31","31","178.0","11.98","2.63","0.61",".293","75.1%","34.1%","6.5%","95.5","2.88","2.64","2.25","2.91","6.2","16137"
"Justin Verlander","HOU","18","4","0","28","28","175.0","9.51","1.49","0.62",".240","80.5%","37.9%","6.2%","95.1","1.75","2.66","2.49","3.23","6.1","8700"
"Sandy Alcantara","MIA","14","9","0","32","32","228.2","8.15","1.97","0.63",".262","78.8%","53.4%","8.5%","98.0","2.28","2.92","2.99","3.29","5.7","18684"
"Kevin Gausman","TOR","12","10","0","31","31","174.2","10.56","1.44","0.77",".363","74.0%","39.2%","8.5%","94.9","3.35","3.34","2.38","2.76","5.7","14107"
"Shohei Ohtani","LAA","15","9","0","28","28","166.0","11.87","2.39","0.76",".289","83.1%","41.9%","9.3%","97.4","2.33","2.68","2.40","2.65","5.6","19755"
"Max Fried","ATL","14","7","0","30","30","185.1","8.26","1.55","0.58",".280","78.2%","51.2%","7.8%","94.0","2.48","2.85","2.70","3.09","5.0","13743"
"Spencer Strider","ATL","11","5","0","31","20","131.2","13.81","3.08","0.48",".292","74.1%","40.3%","6.8%","98.1","2.67","2.39","1.83","2.30","4.9","27498"
"Shane Bieber","CLE","13","8","0","31","31","200.0","8.91","1.62","0.81",".287","75.8%","48.2%","10.4%","91.5","2.88","3.51","2.87","2.98","4.9","19427"
"Corbin Burnes","MIL","12","8","0","33","33","202.0","10.83","2.27","1.02",".259","76.8%","47.0%","14.1%","96.2","2.94","3.05","3.14","2.85","4.6","19361"
"Framber Valdez","HOU","17","6","0","31","31","201.1","8.67","3.00","0.49",".285","75.7%","66.5%","12.5%","94.0","2.82","3.31","3.06","3.00","4.4","17295"
"Dylan Cease","CHW","14","8","0","32","32","184.0","11.10","3.82","0.78",".260","82.3%","38.8%","8.4%","96.9","2.20","2.70","3.10","3.50","4.4","18525"
"Max Scherzer","NYM","11","5","0","23","23","145.1","10.71","1.49","0.81",".276","83.3%","31.1%","7.5%","94.1","2.29","2.87","2.62","3.23","4.4","3137"
"Zac Gallen","ARI","12","4","0","31","31","184.0","9.39","2.30","0.73",".237","78.0%","46.0%","9.1%","93.9","2.54","3.17","3.05","3.32","4.3","19291"
